state_x,state_y,speed,yaw,action_throttle,action_steering,reward,costs,next_state_x,next_state_y,next_speed,next_yaw,done
0.148194344156635,-0.190236341909732,0,0.0210749999999997,0,0.497840909090909,36.617465195938,-36.617465195938,0.148693375442432,-0.190514638182432,-0.00250272786691016,0.0212869240166795,0
0.148693375442432,-0.190514638182432,-0.00250272786691016,0.0212869240166795,0.348494102145771,0.476698127394688,36.5926091650905,-36.5926091650905,0.148672872379635,-0.190731168526435,0,0.020825,0
0.148672872379635,-0.190731168526435,0,0.020825,0.48,0.466818181818182,36.5936956812776,-36.5936956812776,0.148532737261088,-0.190823992216262,0.00510689453357683,0.0204255759833203,0
0.148532737261088,-0.190823992216262,0.00510689453357683,0.0204255759833203,0.476505897854229,0.463955281696221,36.6007245447138,-36.6007245447138,0.148672872379635,-0.190731168526435,0.0104166666666667,0.020825,0
0.148672872379635,-0.190731168526435,0.0104166666666667,0.020825,0.42,0.463863636363636,36.5936956812776,-36.5936956812776,0.149293788807118,-0.190449310643939,0.0141932052881584,0.0224295220500388,0
0.149293788807118,-0.190449310643939,0.0141932052881584,0.0224295220500388,0.377982306437315,0.463162564002246,36.5625890255815,-36.5625890255815,0.14979843273137,-0.19020924740562,0.0173611111111111,0.0243249999999996,0
0.14979843273137,-0.19020924740562,0.0173611111111111,0.0243249999999996,0.36,0.461931818181818,36.5373042653645,-36.5373042653645,0.149706022843453,-0.190200013004146,0.0211280968137895,0.0253063358165231,0
0.149706022843453,-0.190200013004146,0.0211280968137895,0.0253063358165231,0.359064876396514,0.460937075931159,36.5419191603804,-36.5419191603804,0.14979843273137,-0.19020924740562,0.0251736111111111,0.0243249999999996,0
0.14979843273137,-0.19020924740562,0.0251736111111111,0.0243249999999996,0.36,0.460227272727273,36.5373042653645,-36.5373042653645,0.150759491909099,-0.190025610643483,0.0288985741233502,0.0211076346838667,0
0.150759491909099,-0.190025610643483,0.0288985741233502,0.0211076346838667,0.350758187976631,0.459722655000392,36.4892295099483,-36.4892295099483,0.151618198697593,-0.189843237247095,0.0321180555555556,0.0183250000000001,0
0.151618198697593,-0.189843237247095,0.0321180555555556,0.0183250000000001,0.34,0.459545454545455,36.4462694598172,-36.4462694598172,0.151505903807041,-0.189854998380065,0.0348270858594765,0.0182131254480094,0
0.151505903807041,-0.189854998380065,0.0348270858594765,0.0182131254480094,0.337902371696961,0.459916622249091,36.4518839757672,-36.4518839757672,0.151618198697593,-0.189843237247095,0.0373263888888889,0.0183250000000001,0
0.151618198697593,-0.189843237247095,0.0373263888888889,0.0183250000000001,0.34,0.46125,36.4462694598172,-36.4462694598172,0.153039820419378,-0.189590943661643,0.0399094018831885,0.0162086135240962,0
0.153039820419378,-0.189590943661643,0.0399094018831885,0.0162086135240962,0.340132325235526,0.463877901457787,36.3751616745811,-36.3751616745811,0.154347847632466,-0.189294221831112,0.0425347222222222,0.0140749999999997,0
0.154347847632466,-0.189294221831112,0.0425347222222222,0.0140749999999997,0.34,0.467613636363636,36.3097172569659,-36.3097172569659,0.154232953505625,-0.189193604207984,0.045118639941103,0.0141524204556052,0
0.154232953505625,-0.189193604207984,0.045118639941103,0.0141524204556052,0.344068327360936,0.472100181010668,36.3154294839534,-36.3154294839534,0.154347847632466,-0.189294221831112,0.0477430555555556,0.0140749999999997,0
0.154347847632466,-0.189294221831112,0.0477430555555556,0.0140749999999997,0.36,0.476818181818182,36.3097172569659,-36.3097172569659,0.1562350834102,-0.189523677139993,0.0504493716857329,0.0114754546534813,0
0.1562350834102,-0.189523677139993,0.0504493716857329,0.0114754546534813,0.393594365320729,0.481300919954088,36.2154819529289,-36.2154819529289,0.158034553025585,-0.189734859590333,0.0529513888888889,0.00857499999999973,0
0.158034553025585,-0.189734859590333,0.0529513888888889,0.00857499999999973,0.44,0.485454545454545,36.1256274853143,-36.1256274853143,0.157973914827731,-0.189798931496378,0.0550586997048545,0.00789576093046809,0
0.157973914827731,-0.189798931496378,0.0550586997048545,0.00789576093046809,0.491554211356147,0.489216025536618,36.1286758975138,-36.1286758975138,0.158034553025585,-0.189734859590333,0.0572916666666667,0.00857499999999973,0
0.158034553025585,-0.189734859590333,0.0572916666666667,0.00857499999999973,0.54,0.492272727272727,36.1256274853143,-36.1256274853143,0.160130494779139,-0.189605025475018,0.0601535031059603,0.00932900162464482,0
0.160130494779139,-0.189605025475018,0.0601535031059603,0.00932900162464482,0.577688789254684,0.49430656880853,36.0208611133053,-36.0208611133053,0.162152613192714,-0.189497665817766,0.0633680555555556,0.010575,0
0.162152613192714,-0.189497665817766,0.0633680555555556,0.010575,0.6,0.495227272727273,35.9197901751895,-35.9197901751895,0.16206560471061,-0.189478542827845,0.06652346842686,0.012238232570952,0
0.16206560471061,-0.189478542827845,0.06652346842686,0.012238232570952,0.605190631625116,0.49512019922926,35.9241322222272,-35.9241322222272,0.162152613192714,-0.189497665817766,0.0694444444444444,0.010575,0
0.162152613192714,-0.189497665817766,0.0694444444444444,0.010575,0.6,0.494545454545455,35.9197901751895,-35.9197901751895,0.164609541234158,-0.189486286977198,0.0720816162421552,0.00304306809154759,0
0.164609541234158,-0.189486286977198,0.0720816162421552,0.00304306809154759,0.591548684244851,0.494076270638065,35.7970210646819,-35.7970210646819,0.166964878955471,-0.189416382901228,0.0746527777777778,-0.00442499999999981,0
0.166964878955471,-0.189416382901228,0.0746527777777778,-0.00442499999999981,0.58,0.493863636363636,35.6793115402032,-35.6793115402032,0.166848706797312,-0.189318455420341,0.0773332263267415,-0.00596050493714156,0
